英文,中文,音标,词性
brother,兄弟,/ˈbrʌðə/,n.
sister,姐妹,/ˈsɪstə/,n.
grandfather,祖父,/ˈɡrænfɑːðə/,n.
grandmother,祖母,/ˈɡrænmʌðə/,n.
uncle,叔叔,/ˈʌŋkəl/,n.
aunt,阿姨,/ɑːnt/,n.
cousin,堂亲或表亲,/ˈkʌzən/,n.
baby,婴儿,/ˈbeɪbi/,n.
child,孩子,/tʃaɪld/,n.
friend,朋友,/frend/,n.
neighbor,邻居,/ˈneɪbə/,n.
teacher,教师,/ˈtiːtʃə/,n.
student,学生,/ˈstjuːdənt/,n.
doctor,医生,/ˈdɒktə/,n.
nurse,护士,/nɜːs/,n.
farmer,农民,/ˈfɑːmə/,n.
driver,司机,/ˈdraɪvə/,n.
cook,厨师,/kʊk/,n.
singer,歌手,/ˈsɪŋə/,n.
actor,演员,/ˈæktə/,n.
artist,艺术家,/ˈɑːtɪst/,n.
writer,作家,/ˈraɪtə/,n.
worker,工人,/ˈwɜːkə/,n.
pilot,飞行员,/ˈpaɪlət/,n.
scientist,科学家,/ˈsaɪəntɪst/,n.
engineer,工程师,/ˌendʒɪˈnɪə/,n.
school,学校,/skuːl/,n.
classroom,教室,/ˈklɑːsruːm/,n.
library,图书馆,/ˈlaɪbrəri/,n.
playground,操场,/ˈpleɪɡraʊnd/,n.
office,办公室,/ˈɒfɪs/,n.
hospital,医院,/ˈhɒspɪtəl/,n.
park,公园,/pɑːk/,n.
zoo,动物园,/zuː/,n.
museum,博物馆,/mjuˈziːəm/,n.
cinema,电影院,/ˈsɪnəmə/,n.
shop,商店,/ʃɒp/,n.
market,市场,/ˈmɑːkɪt/,n.
restaurant,餐馆,/ˈrestrɒnt/,n.
hotel,旅馆,/həʊˈtel/,n.
bank,银行,/bæŋk/,n.
station,车站,/ˈsteɪʃən/,n.
airport,机场,/ˈeəpɔːt/,n.
bridge,桥,/brɪdʒ/,n.
street,街道,/striːt/,n.
road,道路,/rəʊd/,n.
house,房子,/haʊs/,n.
home,家,/həʊm/,n.
room,房间,/ruːm/,n.
bedroom,卧室,/ˈbedruːm/,n.
kitchen,厨房,/ˈkɪtʃɪn/,n.
bathroom,浴室,/ˈbɑːθruːm/,n.
garden,花园,/ˈɡɑːdən/,n.
door,门,/dɔː/,n.
window,窗户,/ˈwɪndəʊ/,n.
wall,墙,/wɔːl/,n.
floor,地板,/flɔː/,n.
roof,屋顶,/ruːf/,n.
table,桌子,/ˈteɪbəl/,n.
desk,书桌,/desk/,n.
chair,椅子,/tʃeə/,n.
bed,床,/bed/,n.
sofa,沙发,/ˈsəʊfə/,n.
lamp,台灯,/læmp/,n.
clock,钟,/klɒk/,n.
mirror,镜子,/ˈmɪrə/,n.
book,书,/bʊk/,n.
notebook,笔记本,/ˈnəʊtbʊk/,n.
pen,钢笔,/pen/,n.
pencil,铅笔,/ˈpensəl/,n.
ruler,尺子,/ˈruːlə/,n.
eraser,橡皮,/ɪˈreɪzə/,n.
bag,包,/bæɡ/,n.
paper,纸,/ˈpeɪpə/,n.
picture,图片,/ˈpɪktʃə/,n.
map,地图,/mæp/,n.
computer,电脑,/kəmˈpjuːtə/,n.
phone,电话,/fəʊn/,n.
camera,照相机,/ˈkæmərə/,n.
radio,收音机,/ˈreɪdiəʊ/,n.
television,电视机,/ˈtelɪvɪʒən/,n.
keyboard,键盘,/ˈkiːbɔːd/,n.
screen,屏幕,/skriːn/,n.
letter,信,/ˈletə/,n.
stamp,邮票,/stæmp/,n.
envelope,信封,/ˈenvələʊp/,n.
shirt,衬衫,/ʃɜːt/,n.
coat,外套,/kəʊt/,n.
jacket,夹克,/ˈdʒækɪt/,n.
sweater,毛衣,/ˈswetə/,n.
skirt,裙子,/skɜːt/,n.
dress,连衣裙,/dres/,n.
hat,帽子,/hæt/,n.
cap,鸭舌帽,/kæp/,n.
shoe,鞋,/ʃuː/,n.
sock,袜子,/sɒk/,n.
glove,手套,/ɡlʌv/,n.
scarf,围巾,/skɑːf/,n.
belt,腰带,/belt/,n.
umbrella,雨伞,/ʌmˈbrelə/,n.
watch,手表,/wɒtʃ/,n.
button,纽扣,/ˈbʌtən/,n.
pocket,口袋,/ˈpɒkɪt/,n.
uniform,制服,/ˈjuːnɪfɔːm/,n.
boot,靴子,/buːt/,n.
ring,戒指,/rɪŋ/,n.
sun,太阳,/sʌn/,n.
moon,月亮,/muːn/,n.
star,星星,/stɑː/,n.
sky,天空,/skaɪ/,n.
cloud,云,/klaʊd/,n.
rain,雨,/reɪn/,n.
snow,雪,/snəʊ/,n.
wind,风,/wɪnd/,n.
storm,暴风雨,/stɔːm/,n.
rainbow,彩虹,/ˈreɪnbəʊ/,n.
river,河流,/ˈrɪvə/,n.
lake,湖,/leɪk/,n.
sea,海,/siː/,n.
ocean,海洋,/ˈəʊʃən/,n.
beach,海滩,/biːtʃ/,n.
island,岛,/ˈaɪlənd/,n.
mountain,山,/ˈmaʊntɪn/,n.
hill,小山,/hɪl/,n.
forest,森林,/ˈfɒrɪst/,n.
tree,树,/triː/,n.
flower,花,/ˈflaʊə/,n.
grass,草,/ɡrɑːs/,n.
leaf,叶子,/liːf/,n.
root,根,/ruːt/,n.
seed,种子,/siːd/,n.
stone,石头,/stəʊn/,n.
sand,沙子,/sænd/,n.
earth,地球,/ɜːθ/,n.
fire,火,/ˈfaɪə/,n.
air,空气,/eə/,n.
spring,春天,/sprɪŋ/,n.
summer,夏天,/ˈsʌmə/,n.
autumn,秋天,/ˈɔːtəm/,n.
winter,冬天,/ˈwɪntə/,n.
morning,早晨,/ˈmɔːnɪŋ/,n.
afternoon,下午,/ˌɑːftəˈnuːn/,n.
evening,傍晚,/ˈiːvnɪŋ/,n.
night,夜晚,/naɪt/,n.
week,星期,/wiːk/,n.
month,月,/mʌnθ/,n.
read,阅读,/riːd/,v.
write,写,/raɪt/,v.
listen,听,/ˈlɪsən/,v.
speak,说话,/spiːk/,v.
learn,学习,/lɜːn/,v.
teach,教,/tiːtʃ/,v.
think,思考,/θɪŋk/,v.
remember,记住,/rɪˈmembə/,v.
forget,忘记,/fəˈɡet/,v.
understand,理解,/ˌʌndəˈstænd/,v.
walk,步行,/wɔːk/,v.
run,跑,/rʌn/,v.
jump,跳,/dʒʌmp/,v.
swim,游泳,/swɪm/,v.
climb,攀登,/klaɪm/,v.
dance,跳舞,/dɑːns/,v.
sing,唱歌,/sɪŋ/,v.
draw,画画,/drɔː/,v.
paint,绘画；涂色,/peɪnt/,v.
play,玩耍,/pleɪ/,v.
open,打开,/ˈəʊpən/,v.
close,关闭,/kləʊz/,v.
buy,买,/baɪ/,v.
sell,卖,/sel/,v.
give,给,/ɡɪv/,v.
take,拿,/teɪk/,v.
bring,带来,/brɪŋ/,v.
carry,携带,/ˈkæri/,v.
help,帮助,/help/,v.
share,分享,/ʃeə/,v.
eat,吃,/iːt/,v.
drink,喝,/drɪŋk/,v.
sleep,睡觉,/sliːp/,v.
wake,醒来,/weɪk/,v.
wash,洗,/wɒʃ/,v.
clean,打扫,/kliːn/,v.
wait,等待,/weɪt/,v.
visit,参观；拜访,/ˈvɪzɪt/,v.
travel,旅行,/ˈtrævəl/,v.
celebrate,庆祝,/ˈselɪbreɪt/,v.
